node_id,node_type,label,avg_rpi,n_paket,degree_cent,in_degree,pagerank,risk_influence,betweenness,cluster_id
L::Kab. Tasikmalaya,lembaga,Kab. Tasikmalaya,25.44,4122,0.0029,0.0,0.004389,0.001117,0.0,0
L::Kab. Kutai Timur,lembaga,Kab. Kutai Timur,28.18,8022,0.0028,0.0,0.008543,0.002407,0.0,0
L::Kab. Malinau,lembaga,Kab. Malinau,27.87,2507,0.0017,0.0,0.00267,0.000744,0.0,0
L::Kementerian Desa dan Pembangunan Daerah Tertinggal,lembaga,Kementerian Desa dan Pembangunan Daerah Tertinggal,33.21,1635,0.0013,0.0,0.001741,0.000578,0.0,0
L::Komisi Pemilihan Umum,lembaga,Komisi Pemilihan Umum,30.43,6419,0.0149,0.0,0.006836,0.00208,0.0,0
L::Kab. Morowali,lembaga,Kab. Morowali,17.44,3947,0.0019,0.0,0.004203,0.000733,0.0,0
L::Kab. Wonogiri,lembaga,Kab. Wonogiri,22.32,5715,0.0015,0.0,0.006086,0.001358,0.0,1
L::Kota Pare Pare,lembaga,Kota Pare Pare,12.26,2478,0.0013,0.0,0.002639,0.000324,0.0,1
L::Kab. Aceh Selatan,lembaga,Kab. Aceh Selatan,32.85,7,0.0001,0.0,7e-06,2e-06,0.0,9
L::Kab. Agam,lembaga,Kab. Agam,26.15,3401,0.0022,0.0,0.003622,0.000947,0.0,0
L::Kab. Rembang,lembaga,Kab. Rembang,25.61,7094,0.0019,0.0,0.007554,0.001935,0.0,0
L::Kab. Langkat,lembaga,Kab. Langkat,25.95,1562,0.0012,0.0,0.001663,0.000432,0.0,0
L::Universitas Pendidikan Indonesia,lembaga,Universitas Pendidikan Indonesia,36.18,4,0.0001,0.0,4e-06,2e-06,0.0,10
L::Badan Siber dan Sandi Negara,lembaga,Badan Siber dan Sandi Negara,30.92,288,0.0003,0.0,0.000307,9.5e-05,0.0,0
L::Kab. Merangin,lembaga,Kab. Merangin,26.13,5426,0.0027,0.0,0.005778,0.00151,0.0,0
L::Kab. Pati,lembaga,Kab. Pati,26.78,9155,0.0025,0.0,0.009749,0.002611,0.0,0
L::Kab. Konawe Utara,lembaga,Kab. Konawe Utara,27.98,1892,0.0017,0.0,0.002015,0.000564,0.0,0
L::Provinsi Jawa Tengah,lembaga,Provinsi Jawa Tengah,21.84,19242,0.0015,0.0,0.020491,0.004475,0.0,0
L::Kab. Bolaang Mongondow Selatan,lembaga,Kab. Bolaang Mongondow Selatan,26.55,743,0.0015,0.0,0.000791,0.00021,0.0,0
L::Kab. Karanganyar,lembaga,Kab. Karanganyar,23.3,4831,0.002,0.0,0.005145,0.001199,0.0,0
L::Badan Nasional Pengelola Perbatasan,lembaga,Badan Nasional Pengelola Perbatasan,31.43,381,0.0003,0.0,0.000406,0.000128,0.0,1
L::Universitas Negeri Yogyakarta,lembaga,Universitas Negeri Yogyakarta,36.63,3,0.0001,0.0,3e-06,1e-06,0.0,11
L::Kab. Bengkulu Utara,lembaga,Kab. Bengkulu Utara,18.27,6030,0.0017,0.0,0.006421,0.001173,0.0,0
L::Kab. Rejang Lebong,lembaga,Kab. Rejang Lebong,23.18,1717,0.0029,0.0,0.001828,0.000424,0.0,0
L::Kementerian Kependudukan dan Pembangunan Keluarga/BKKBN,lembaga,Kementerian Kependudukan dan Pembangunan Keluarga/BKKBN,28.17,1818,0.0021,0.0,0.001936,0.000545,0.0,0
L::Kab. Pasaman,lembaga,Kab. Pasaman,30.0,2886,0.0016,0.0,0.003073,0.000922,0.0,0
L::Komisi Pengawas Persaingan Usaha,lembaga,Komisi Pengawas Persaingan Usaha,40.61,105,0.0003,0.0,0.000112,4.5e-05,0.0,0
L::Kota Medan,lembaga,Kota Medan,17.12,7323,0.0063,0.0,0.007798,0.001335,0.0,0
L::Kab. Siak,lembaga,Kab. Siak,23.41,2777,0.0012,0.0,0.002957,0.000692,0.0,0
L::Majelis Permusyawaratan Rakyat,lembaga,Majelis Permusyawaratan Rakyat,24.91,549,0.0001,0.0,0.000585,0.000146,0.0,0
L::Kab. Halmahera Selatan,lembaga,Kab. Halmahera Selatan,26.04,1788,0.0018,0.0,0.001904,0.000496,0.0,0
L::Kab. Tabanan,lembaga,Kab. Tabanan,18.03,7221,0.0018,0.0,0.00769,0.001386,0.0,0
L::Kab. Ogan Komering Ulu,lembaga,Kab. Ogan Komering Ulu,24.59,5886,0.0014,0.0,0.006268,0.001541,0.0,0
L::Kab. Tapanuli Utara,lembaga,Kab. Tapanuli Utara,22.4,1559,0.002,0.0,0.00166,0.000372,0.0,0
L::Kab. Aceh Barat,lembaga,Kab. Aceh Barat,28.15,4993,0.0018,0.0,0.005317,0.001497,0.0,0
L::Kab. Pasaman Barat,lembaga,Kab. Pasaman Barat,22.6,518,0.0008,0.0,0.000552,0.000125,0.0,0
L::Kab. Sumedang,lembaga,Kab. Sumedang,30.52,2227,0.0017,0.0,0.002372,0.000724,0.0,0
L::Kab. Bangli,lembaga,Kab. Bangli,20.46,2323,0.0012,0.0,0.002474,0.000506,0.0,1
L::Kab. Lamandau,lembaga,Kab. Lamandau,19.2,2098,0.0015,0.0,0.002234,0.000429,0.0,0
L::Kab. Maros,lembaga,Kab. Maros,11.79,2748,0.0012,0.0,0.002926,0.000345,0.0,0
L::Kab. Bangkalan,lembaga,Kab. Bangkalan,26.45,6179,0.0025,0.0,0.00658,0.00174,0.0,0
L::Kab. Belitung Timur,lembaga,Kab. Belitung Timur,17.24,3320,0.0012,0.0,0.003535,0.00061,0.0,0
L::Kab. Way Kanan,lembaga,Kab. Way Kanan,18.32,3873,0.0019,0.0,0.004124,0.000756,0.0,0
L::Kota Palu,lembaga,Kota Palu,25.84,4901,0.0012,0.0,0.005219,0.001349,0.0,0
L::Kota Pematangsiantar,lembaga,Kota Pematangsiantar,17.73,3639,0.0018,0.0,0.003875,0.000687,0.0,0
L::Kementerian Koordinator Bidang Pemberdayaan Masyarakat,lembaga,Kementerian Koordinator Bidang Pemberdayaan Masyarakat,32.76,129,0.0001,0.0,0.000137,4.5e-05,0.0,0
L::Kementerian Koordinator Bidang Pangan,lembaga,Kementerian Koordinator Bidang Pangan,31.67,23,0.0001,0.0,2.4e-05,8e-06,0.0,0
L::Kab. Boyolali,lembaga,Kab. Boyolali,26.24,6216,0.0046,0.0,0.006619,0.001737,0.0,0
L::Kota Dumai,lembaga,Kota Dumai,23.82,4698,0.0011,0.0,0.005003,0.001192,0.0,0
L::Kab. Samosir,lembaga,Kab. Samosir,14.61,2281,0.0019,0.0,0.002429,0.000355,0.0,0
L::Kota Sawahlunto,lembaga,Kota Sawahlunto,11.65,1219,0.0008,0.0,0.001298,0.000151,0.0,0
L::Kab. Solok,lembaga,Kab. Solok,16.1,3042,0.0018,0.0,0.003239,0.000522,0.0,0
L::Lembaga Ketahanan Nasional,lembaga,Lembaga Ketahanan Nasional,33.39,420,0.0002,0.0,0.000447,0.000149,0.0,0
L::Provinsi Maluku Utara,lembaga,Provinsi Maluku Utara,26.78,2531,0.0025,0.0,0.002695,0.000722,0.0,0
L::Kab. Padang Pariaman,lembaga,Kab. Padang Pariaman,14.46,3531,0.002,0.0,0.00376,0.000544,0.0,0
L::Komisi Yudisial Ri,lembaga,Komisi Yudisial Ri,33.89,25,0.0001,0.0,2.7e-05,9e-06,0.0,1
L::Badan Pembinaan Ideologi Pancasila,lembaga,Badan Pembinaan Ideologi Pancasila,40.92,494,0.0007,0.0,0.000526,0.000215,0.0,0
L::Kab. Magetan,lembaga,Kab. Magetan,20.12,9060,0.0033,0.0,0.009648,0.001941,0.0,0
L::Kab. Lebak,lembaga,Kab. Lebak,23.04,4781,0.0031,0.0,0.005091,0.001173,0.0,1
L::Ombudsman Republik Indonesia,lembaga,Ombudsman Republik Indonesia,37.15,641,0.0002,0.0,0.000683,0.000254,0.0,0
L::Kab. Tanjung Jabung Barat,lembaga,Kab. Tanjung Jabung Barat,11.92,1758,0.0013,0.0,0.001872,0.000223,0.0,0
L::Kab. Tapin,lembaga,Kab. Tapin,20.92,5076,0.002,0.0,0.005405,0.001131,0.0,0
L::Kab. Bener Meriah,lembaga,Kab. Bener Meriah,18.68,1482,0.0017,0.0,0.001578,0.000295,0.0,0
L::Kab. Seram Bagian Timur,lembaga,Kab. Seram Bagian Timur,25.24,1475,0.0027,0.0,0.001571,0.000396,0.0,0
L::Kab. Hulu Sungai Tengah,lembaga,Kab. Hulu Sungai Tengah,25.35,5359,0.0013,0.0,0.005707,0.001447,0.0,0
L::Badan Standardisasi Nasional,lembaga,Badan Standardisasi Nasional,36.24,604,0.0005,0.0,0.000643,0.000233,0.0,0
L::Kab. Sinjai,lembaga,Kab. Sinjai,18.77,2038,0.0017,0.0,0.00217,0.000407,0.0,0
